,country,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,vaccines
185,South Sudan,56989.0,52226.0,4763.0,0.51,0.47,0.04,Oxford/AstraZeneca
186,Spain,62193144.0,35072910.0,30261332.0,133.02,75.01,64.72,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
187,Sri Lanka,16920027.0,11963739.0,4956288.0,79.02,55.87,23.15,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
188,Sudan,823881.0,641154.0,182727.0,1.88,1.46,0.42,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac"
189,Suriname,285217.0,194371.0,90846.0,48.62,33.13,15.49,Oxford/AstraZeneca
190,Sweden,11592541.0,6589191.0,5003350.0,114.79,65.24,49.54,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
191,Switzerland,9301770.0,4807013.0,4323274.0,107.48,55.54,49.95,"Moderna, Pfizer/BioNTech"
192,Syria,355000.0,121909.0,9312.0,2.03,0.7,0.05,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
193,Taiwan,9985997.0,9260988.0,725009.0,41.93,38.88,3.04,"Moderna, Oxford/AstraZeneca"
194,Tajikistan,1967958.0,1755958.0,212000.0,20.63,18.41,2.22,"Moderna, Oxford/AstraZeneca, Sinovac"
195,Tanzania,218621.0,218621.0,218621.0,0.37,0.37,0.37,Johnson&Johnson
196,Thailand,25167060.0,19143574.0,5503882.0,36.06,27.43,7.89,"Oxford/AstraZeneca, Sinovac"
197,Timor,491569.0,348548.0,143021.0,37.28,26.44,10.85,"Oxford/AstraZeneca, Sinovac"
198,Togo,474776.0,321139.0,153637.0,5.73,3.88,1.86,Oxford/AstraZeneca
199,Tokelau,968.0,968.0,,71.7,71.7,,Pfizer/BioNTech
200,Tonga,47553.0,28841.0,18712.0,44.99,27.29,17.7,Oxford/AstraZeneca
201,Trinidad and Tobago,800795.0,461528.0,339267.0,57.22,32.98,24.24,"Oxford/AstraZeneca, Sinopharm/Beijing"
202,Tunisia,4782139.0,3455432.0,1621713.0,40.46,29.24,13.72,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V"
203,Turkey,86413722.0,45025676.0,34128107.0,102.46,53.39,40.47,"Pfizer/BioNTech, Sinovac"
204,Turkmenistan,41993.0,32240.0,9753.0,0.7,0.53,0.16,"EpiVacCorona, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
205,Turks and Caicos Islands,49107.0,25621.0,23486.0,126.83,66.17,60.66,Pfizer/BioNTech
206,Tuvalu,4772.0,4772.0,,40.47,40.47,,Oxford/AstraZeneca
207,Uganda,1235052.0,1235052.0,4129.0,2.7,2.7,0.01,Oxford/AstraZeneca
208,Ukraine,7823001.0,4914253.0,2908748.0,17.89,11.24,6.65,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
209,United Arab Emirates,17506683.0,8218775.0,7259423.0,177.01,83.1,73.4,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
210,United Kingdom,88401088.0,47413242.0,40987846.0,130.22,69.84,60.38,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
211,United States,358599835.0,199325940.0,169186268.0,107.22,59.6,50.59,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
212,Uruguay,5181600.0,2637938.0,2430021.0,149.17,75.94,69.95,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
213,Uzbekistan,12103334.0,8569841.0,1232807.0,36.16,25.61,3.68,"Oxford/AstraZeneca, RBD-Dimer, Sputnik V"
214,Vanuatu,31042.0,29321.0,1721.0,10.11,9.55,0.56,Oxford/AstraZeneca
215,Venezuela,4678086.0,2900000.0,1100000.0,16.45,10.2,3.87,"Sinopharm/Beijing, Sputnik V"
216,Vietnam,15518869.0,14032444.0,1486425.0,15.94,14.42,1.53,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
217,Wales,4470306.0,2320165.0,2150141.0,141.02,73.19,67.83,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
218,Wallis and Futuna,9534.0,4821.0,4713.0,84.78,42.87,41.91,Oxford/AstraZeneca
219,Yemen,311483.0,298161.0,13322.0,1.04,1.0,0.04,Oxford/AstraZeneca
220,Zambia,531885.0,308373.0,223512.0,2.89,1.68,1.22,"Oxford/AstraZeneca, Sinopharm/Beijing"
221,Zimbabwe,3542340.0,2193046.0,1349294.0,23.83,14.76,9.08,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
